Entry ID,word,definition,plural form,recordings,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,tags
125,dag_osasxw,bounce; bound,dag_asg_osasxw,,transitive verb,,2,2,,,,"""bound"" for a transitive verb? check verb uses",
126,haxwdakw,bow,,,noun,,2,,,,,,
127,wo'os,bowl; dish,g_awo'os,,noun,,1,2,,,,,
128,x_biist,box,g_ax_biist,,noun,,1,2,,,,,
129,ink_,box (for storing food),,,noun,,1,,,,,,
130,ginees,small boy,,,noun,,2,,,,,,
131,hak'eeg_antxw,brace and bit,,,noun,,2,,,,,,
132,ts'ixs na'ax_s,bracelet,,,noun,,2,,,,,,
133,win g_es,brain,,,noun,,2,,,,,,
134,anist,branch; limb,,,noun,,2,,,,,specifically tree limbs or also person limbs?,
135,anaax,bread,,,noun,,2,,,,,,
136,ihlag_an,break,,,transitive verb,,2,,,,,,
137,.'moot'ixs,breast,,,noun,,1,,,,,,
138,xsi naahlx_,breathe,,,intransitive verb,,2,,,,,,
139,g_aneex_s,bridge,,,noun,,2,,,,,,
140,g_oyp'ax_,be bright (of light),,,intransitive verb,,1,,,,,,
141,.'wii ooks,be broad; be wide,,,intransitive verb,,2,,,,,,
142,ihlak_(t),be broken (long object); be snapped,ihlaahlax_t; ihlaahlax_(t),,intransitive verb,,2,2,,,,,T-verb?
143,kw'as(t),be broken; be shattered,,,intransitive verb,,1,,,,,"check status of that final -t thing, does ihlak_ also have one? should it be part of entry?",T-verb?
144,hat'uusxw,broom,,,noun,,2,,,,,,
145,lax_s,brush; pine needles,,,noun,,1,,,,,,
146,ha'aks,bucket,,,noun,,2,,,,,,
146,g_aldim aks,bucket,,,noun,,"1,3",,,,,,
147,mask_'ayaa'y,bullhead,,,noun,,3,,,,,,
148,ap,bee; bumblebee; honeybee; yellowjacket,,,noun,,1,,,,,,
149,simihl,burn; kindle,,,transitive verb,,2,,,,,,
150,mihl,burn,mihlmihl,,intransitive verb,,1,2,,,,,
151,jibilixs,burn up,,,intransitive verb,,1,,,,,,
152,x_hluxw,burst; explode; blow up; erupt,g_ax_hluxw,,intransitive verb,,1,2,,,,,
153,t'im bok_',buttocks,,,noun,,2,,,,,,
154,.'mala'an; 'mala,button,g_an 'mala'an; g_an 'mala,,noun,,1,2,,,,,
155,gwiis g_an 'mala'a; gwiis g_an 'mala,button blanket,,,noun,,"1,3",,,,,,
156,mask'awoodax_,butterfly,,,noun,,3,,,,,check pronunciations: mask(y?_?)'awoo(d?t'?)ax_,
157,g_anx_ya'a,butterfly species (orange colour),,,noun,,2,,,,,,
158,hisbiliks,butterfly species,,,noun,,2,,,,,,
159,giikw,buy,,,transitive verb,,1,,,,,,
160,sa'wnsxum hlox_s,calendar,,,noun,,"1,3",,,,,,
161,itxw; etxw,"call out (a name, etc)",,,intransitive verb,,1,,,,,,
162,haguxwsg_alt'amdinsxw,camera,,,noun,,4,,,,,,
